"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"49049","0","10","70","0","2023","A","","Utah County, Utah","Total All","Total, All Industries","County, Total","All Sizes","12500","185000","9800000000","","","1018","52973"
"49049","0","11","72","0","2023","A","","Utah County, Utah","Total All","Agriculture, Forestry, Fishing and Hunting","County, by NAICS Supersector","All Sizes","180","2100","78000000","","","714","37143"
"49049","0","21","72","0","2023","A","","Utah County, Utah","Total All","Mining, Quarrying, and Oil and Gas Extraction","County, by NAICS Supersector","All Sizes","45","800","52000000","","","1250","65000"
"49049","0","23","72","0","2023","A","","Utah County, Utah","Total All","Construction","County, by NAICS Supersector","All Sizes","2200","22000","1320000000","","","1154","60000"
"49049","0","31-33","72","0","2023","A","","Utah County, Utah","Total All","Manufacturing","County, by NAICS Supersector","All Sizes","850","18500","1110000000","","","1154","60000"
"49049","0","22","72","0","2023","A","","Utah County, Utah","Total All","Utilities","County, by NAICS Supersector","All Sizes","30","1200","96000000","","","1538","80000"
"49049","0","42","72","0","2023","A","","Utah County, Utah","Total All","Wholesale Trade","County, by NAICS Supersector","All Sizes","620","7800","546000000","","","1346","70000"
"49049","0","44-45","72","0","2023","A","","Utah County, Utah","Total All","Retail Trade","County, by NAICS Supersector","All Sizes","2100","24500","882000000","","","692","36000"
"49049","0","48-49","72","0","2023","A","","Utah County, Utah","Total All","Transportation and Warehousing","County, by NAICS Supersector","All Sizes","380","5800","348000000","","","1154","60000"
"49049","0","51","72","0","2023","A","","Utah County, Utah","Total All","Information","County, by NAICS Supersector","All Sizes","520","12000","1080000000","","","1731","90000"
"49049","0","52","72","0","2023","A","","Utah County, Utah","Total All","Finance and Insurance","County, by NAICS Supersector","All Sizes","680","8500","595000000","","","1346","70000"
"49049","0","53","72","0","2023","A","","Utah County, Utah","Total All","Real Estate and Rental and Leasing","County, by NAICS Supersector","All Sizes","420","3200","192000000","","","1154","60000"
"49049","0","54","72","0","2023","A","","Utah County, Utah","Total All","Professional, Scientific, and Technical Services","County, by NAICS Supersector","All Sizes","2800","22000","1760000000","","","1538","80000"
"49049","0","55","72","0","2023","A","","Utah County, Utah","Total All","Management of Companies and Enterprises","County, by NAICS Supersector","All Sizes","120","3500","280000000","","","1538","80000"
"49049","0","56","72","0","2023","A","","Utah County, Utah","Total All","Administrative and Support and Waste Management","County, by NAICS Supersector","All Sizes","890","11000","440000000","","","769","40000"
"49049","0","61","72","0","2023","A","","Utah County, Utah","Total All","Educational Services","County, by NAICS Supersector","All Sizes","280","15000","600000000","","","769","40000"
"49049","0","62","72","0","2023","A","","Utah County, Utah","Total All","Health Care and Social Assistance","County, by NAICS Supersector","All Sizes","1200","14500","725000000","","","962","50000"
"49049","0","71","72","0","2023","A","","Utah County, Utah","Total All","Arts, Entertainment, and Recreation","County, by NAICS Supersector","All Sizes","180","3200","96000000","","","577","30000"
"49049","0","72","72","0","2023","A","","Utah County, Utah","Total All","Accommodation and Food Services","County, by NAICS Supersector","All Sizes","1100","16000","384000000","","","462","24000"
"49049","0","81","72","0","2023","A","","Utah County, Utah","Total All","Other Services (Except Public Administration)","County, by NAICS Supersector","All Sizes","680","5500","220000000","","","769","40000"
"49049","0","92","72","0","2023","A","","Utah County, Utah","Total All","Public Administration","County, by NAICS Supersector","All Sizes","150","7400","370000000","","","962","50000"
